(3, 1)/(7, 9)-->13
(3, 1)/(8, 9)-->14
(3, 1)/(9, 9)-->15
(3, 1)/(10, 9)-->16
(3, 1)/(13, 9)-->19
(3, 1)/(14, 9)-->20
(3, 1)/(15, 9)-->21
(3, 1)/(16, 9)-->22
(3, 1)/(1, 10)-->16
(3, 1)/(2, 10)-->17
(3, 1)/(3, 10)-->16
(3, 1)/(4, 10)-->15
(3, 1)/(7, 10)-->16
(3, 1)/(8, 10)-->17
(3, 1)/(9, 10)-->18
(3, 1)/(10, 10)-->19
(3, 1)/(13, 10)-->22
(3, 1)/(14, 10)-->23
(3, 1)/(15, 10)-->24
(4, 1)/(7, 1)-->4
(4, 1)/(8, 1)-->5
(4, 1)/(9, 1)-->6
(4, 1)/(10, 1)-->7
(4, 1)/(13, 1)-->10
(4, 1)/(14, 1)-->11
(4, 1)/(15, 1)-->12
(4, 1)/(16, 1)-->13
(4, 1)/(1, 2)-->9
(4, 1)/(2, 2)-->8
(4, 1)/(3, 2)-->7
(4, 1)/(4, 2)-->6
(4, 1)/(7, 2)-->7
(4, 1)/(8, 2)-->8
(4, 1)/(9, 2)-->9
(4, 1)/(10, 2)-->10
(4, 1)/(13, 2)-->13
(4, 1)/(14, 2)-->14
(4, 1)/(15, 2)-->15
(4, 1)/(16, 2)-->16
(4, 1)/(1, 5)-->10
(4, 1)/(2, 5)-->9
(4, 1)/(3, 5)-->8
(4, 1)/(4, 5)-->7
(4, 1)/(7, 5)-->8
(4, 1)/(8, 5)-->9
(4, 1)/(9, 5)-->10
(4, 1)/(10, 5)-->11
(4, 1)/(13, 5)-->14
(4, 1)/(14, 5)-->15
(4, 1)/(15, 5)-->16
(4, 1)/(16, 5)-->17
(4, 1)/(1, 6)-->13
(4, 1)/(2, 6)-->12
(4, 1)/(3, 6)-->11
(4, 1)/(4, 6)-->10
(4, 1)/(7, 6)-->11
(4, 1)/(8, 6)-->12
(4, 1)/(9, 6)-->13
(4, 1)/(10, 6)-->14
(4, 1)/(13, 6)-->17
(4, 1)/(14, 6)-->18
(4, 1)/(15, 6)-->19
(4, 1)/(16, 6)-->20
(4, 1)/(1, 9)-->14
(4, 1)/(2, 9)-->13
(4, 1)/(3, 9)-->12
(4, 1)/(4, 9)-->11
(4, 1)/(7, 9)-->12
(4, 1)/(8, 9)-->13
(4, 1)/(9, 9)-->14
(4, 1)/(10, 9)-->15
(4, 1)/(13, 9)-->18
(4, 1)/(14, 9)-->19
(4, 1)/(15, 9)-->20
(4, 1)/(16, 9)-->21
(4, 1)/(1, 10)-->17
(4, 1)/(2, 10)-->16
(4, 1)/(3, 10)-->15
(4, 1)/(4, 10)-->14
(4, 1)/(7, 10)-->15
(4, 1)/(8, 10)-->16
(4, 1)/(9, 10)-->17
(4, 1)/(10, 10)-->18
(4, 1)/(13, 10)-->21
(4, 1)/(14, 10)-->22
(4, 1)/(15, 10)-->23
(7, 1)/(8, 1)-->2
(7, 1)/(9, 1)-->3
(7, 1)/(10, 1)-->4
(7, 1)/(13, 1)-->7
(7, 1)/(14, 1)-->8
(7, 1)/(15, 1)-->9
(7, 1)/(16, 1)-->10
(7, 1)/(1, 2)-->10
(7, 1)/(2, 2)-->9
(7, 1)/(3, 2)-->8
(7, 1)/(4, 2)-->7
(7, 1)/(7, 2)-->6
(7, 1)/(8, 2)-->7
(7, 1)/(9, 2)-->8
(7, 1)/(10, 2)-->9
(7, 1)/(13, 2)-->10
(7, 1)/(14, 2)-->11
(7, 1)/(15, 2)-->12
(7, 1)/(16, 2)-->13
(7, 1)/(1, 5)-->11
(7, 1)/(2, 5)-->10
(7, 1)/(3, 5)-->9
(7, 1)/(4, 5)-->8
(7, 1)/(7, 5)-->7
(7, 1)/(8, 5)-->8
(7, 1)/(9, 5)-->9
(7, 1)/(10, 5)-->10
(7, 1)/(13, 5)-->11
(7, 1)/(14, 5)-->12
(7, 1)/(15, 5)-->13
(7, 1)/(16, 5)-->14
(7, 1)/(1, 6)-->14
(7, 1)/(2, 6)-->13
(7, 1)/(3, 6)-->12
(7, 1)/(4, 6)-->11
(7, 1)/(7, 6)-->10
(7, 1)/(8, 6)-->11
(7, 1)/(9, 6)-->12
(7, 1)/(10, 6)-->13
(7, 1)/(13, 6)-->14
(7, 1)/(14, 6)-->15
(7, 1)/(15, 6)-->16
(7, 1)/(16, 6)-->17
(7, 1)/(1, 9)-->15
(7, 1)/(2, 9)-->14
(7, 1)/(3, 9)-->13
(7, 1)/(4, 9)-->12
(7, 1)/(7, 9)-->11
(7, 1)/(8, 9)-->12
(7, 1)/(9, 9)-->13
(7, 1)/(10, 9)-->14
(7, 1)/(13, 9)-->15
(7, 1)/(14, 9)-->16
(7, 1)/(15, 9)-->17
(7, 1)/(16, 9)-->18
(7, 1)/(1, 10)-->18
(7, 1)/(2, 10)-->17
(7, 1)/(3, 10)-->16
(7, 1)/(4, 10)-->15
(7, 1)/(7, 10)-->14
(7, 1)/(8, 10)-->15
(7, 1)/(9, 10)-->16
(7, 1)/(10, 10)-->17
(7, 1)/(13, 10)-->18
(7, 1)/(14, 10)-->19
(7, 1)/(15, 10)-->20
(8, 1)/(9, 1)-->2
(8, 1)/(10, 1)-->3
(8, 1)/(13, 1)-->6
(8, 1)/(14, 1)-->7
(8, 1)/(15, 1)-->8
(8, 1)/(16, 1)-->9
(8, 1)/(1, 2)-->11
(8, 1)/(2, 2)-->10
(8, 1)/(3, 2)-->9
(8, 1)/(4, 2)-->8
(8, 1)/(7, 2)-->7
(8, 1)/(8, 2)-->8
(8, 1)/(9, 2)-->9
(8, 1)/(10, 2)-->8
(8, 1)/(13, 2)-->9
(8, 1)/(14, 2)-->10
(8, 1)/(15, 2)-->11
(8, 1)/(16, 2)-->12
(8, 1)/(1, 5)-->12
(8, 1)/(2, 5)-->11
(8, 1)/(3, 5)-->10
(8, 1)/(4, 5)-->9
(8, 1)/(7, 5)-->8
(8, 1)/(8, 5)-->9
(8, 1)/(9, 5)-->10
(8, 1)/(10, 5)-->9
(8, 1)/(13, 5)-->10
(8, 1)/(14, 5)-->11
(8, 1)/(15, 5)-->12
(8, 1)/(16, 5)-->13
(8, 1)/(1, 6)-->15
(8, 1)/(2, 6)-->14
(8, 1)/(3, 6)-->13
(8, 1)/(4, 6)-->12
(8, 1)/(7, 6)-->11
(8, 1)/(8, 6)-->12
(8, 1)/(9, 6)-->13
(8, 1)/(10, 6)-->12
(8, 1)/(13, 6)-->13
(8, 1)/(14, 6)-->14
(8, 1)/(15, 6)-->15
(8, 1)/(16, 6)-->16
(8, 1)/(1, 9)-->16
(8, 1)/(2, 9)-->15
(8, 1)/(3, 9)-->14
(8, 1)/(4, 9)-->13
(8, 1)/(7, 9)-->12
(8, 1)/(8, 9)-->13
(8, 1)/(9, 9)-->14
(8, 1)/(10, 9)-->13
(8, 1)/(13, 9)-->14
(8, 1)/(14, 9)-->15
(8, 1)/(15, 9)-->16
(8, 1)/(16, 9)-->17
(8, 1)/(1, 10)-->19
(8, 1)/(2, 10)-->18
(8, 1)/(3, 10)-->17
(8, 1)/(4, 10)-->16
(8, 1)/(7, 10)-->15
(8, 1)/(8, 10)-->16
(8, 1)/(9, 10)-->17
(8, 1)/(10, 10)-->16
(8, 1)/(13, 10)-->17
(8, 1)/(14, 10)-->18
(8, 1)/(15, 10)-->19
(9, 1)/(10, 1)-->2
(9, 1)/(13, 1)-->5
(9, 1)/(14, 1)-->6
(9, 1)/(15, 1)-->7
(9, 1)/(16, 1)-->8
(9, 1)/(1, 2)-->12
(9, 1)/(2, 2)-->11
(9, 1)/(3, 2)-->10
(9, 1)/(4, 2)-->9
(9, 1)/(7, 2)-->8
(9, 1)/(8, 2)-->9
(9, 1)/(9, 2)-->8
(9, 1)/(10, 2)-->7
(9, 1)/(13, 2)-->8
(9, 1)/(14, 2)-->9
(9, 1)/(15, 2)-->10
(9, 1)/(16, 2)-->11
(9, 1)/(1, 5)-->13
(9, 1)/(2, 5)-->12
(9, 1)/(3, 5)-->11
(9, 1)/(4, 5)-->10
(9, 1)/(7, 5)-->9
(9, 1)/(8, 5)-->10
(9, 1)/(9, 5)-->9
(9, 1)/(10, 5)-->8
(9, 1)/(13, 5)-->9
(9, 1)/(14, 5)-->10
(9, 1)/(15, 5)-->11
(9, 1)/(16, 5)-->12
(9, 1)/(1, 6)-->16
(9, 1)/(2, 6)-->15
(9, 1)/(3, 6)-->14
(9, 1)/(4, 6)-->13
(9, 1)/(7, 6)-->12
(9, 1)/(8, 6)-->13
(9, 1)/(9, 6)-->12
(9, 1)/(10, 6)-->11
(9, 1)/(13, 6)-->12
(9, 1)/(14, 6)-->13
(9, 1)/(15, 6)-->14
(9, 1)/(16, 6)-->15
(9, 1)/(1, 9)-->17
(9, 1)/(2, 9)-->16
(9, 1)/(3, 9)-->15
(9, 1)/(4, 9)-->14
(9, 1)/(7, 9)-->13
(9, 1)/(8, 9)-->14
(9, 1)/(9, 9)-->13
(9, 1)/(10, 9)-->12
(9, 1)/(13, 9)-->13
(9, 1)/(14, 9)-->14
(9, 1)/(15, 9)-->15
(9, 1)/(16, 9)-->16
(9, 1)/(1, 10)-->20
(9, 1)/(2, 10)-->19
(9, 1)/(3, 10)-->18
(9, 1)/(4, 10)-->17
(9, 1)/(7, 10)-->16
(9, 1)/(8, 10)-->17
(9, 1)/(9, 10)-->16
(9, 1)/(10, 10)-->15
(9, 1)/(13, 10)-->16
(9, 1)/(14, 10)-->17
(9, 1)/(15, 10)-->18
(10, 1)/(13, 1)-->4
(10, 1)/(14, 1)-->5
(10, 1)/(15, 1)-->6
(10, 1)/(16, 1)-->7
(10, 1)/(1, 2)-->13
(10, 1)/(2, 2)-->12
(10, 1)/(3, 2)-->11
(10, 1)/(4, 2)-->10
(10, 1)/(7, 2)-->9
(10, 1)/(8, 2)-->8
(10, 1)/(9, 2)-->7
(10, 1)/(10, 2)-->6
(10, 1)/(13, 2)-->7
(10, 1)/(14, 2)-->8
(10, 1)/(15, 2)-->9
(10, 1)/(16, 2)-->10
(10, 1)/(1, 5)-->14
(10, 1)/(2, 5)-->13
(10, 1)/(3, 5)-->12
(10, 1)/(4, 5)-->11
(10, 1)/(7, 5)-->10
(10, 1)/(8, 5)-->9
(10, 1)/(9, 5)-->8
(10, 1)/(10, 5)-->7
(10, 1)/(13, 5)-->8
(10, 1)/(14, 5)-->9
(10, 1)/(15, 5)-->10
(10, 1)/(16, 5)-->11
(10, 1)/(1, 6)-->17
(10, 1)/(2, 6)-->16
(10, 1)/(3, 6)-->15
(10, 1)/(4, 6)-->14
(10, 1)/(7, 6)-->13
(10, 1)/(8, 6)-->12
(10, 1)/(9, 6)-->11
(10, 1)/(10, 6)-->10
(10, 1)/(13, 6)-->11
(10, 1)/(14, 6)-->12
(10, 1)/(15, 6)-->13
(10, 1)/(16, 6)-->14
(10, 1)/(1, 9)-->18
(10, 1)/(2, 9)-->17
(10, 1)/(3, 9)-->16
(10, 1)/(4, 9)-->15
(10, 1)/(7, 9)-->14
(10, 1)/(8, 9)-->13
(10, 1)/(9, 9)-->12
(10, 1)/(10, 9)-->11
(10, 1)/(13, 9)-->12
(10, 1)/(14, 9)-->13
(10, 1)/(15, 9)-->14
(10, 1)/(16, 9)-->15
(10, 1)/(1, 10)-->21
(10, 1)/(2, 10)-->20
(10, 1)/(3, 10)-->19
(10, 1)/(4, 10)-->18
(10, 1)/(7, 10)-->17
(10, 1)/(8, 10)-->16
(10, 1)/(9, 10)-->15
(10, 1)/(10, 10)-->14
(10, 1)/(13, 10)-->15
(10, 1)/(14, 10)-->16
(10, 1)/(15, 10)-->17
(13, 1)/(14, 1)-->2
(13, 1)/(15, 1)-->3
(13, 1)/(16, 1)-->4
(13, 1)/(1, 2)-->16
(13, 1)/(2, 2)-->15
(13, 1)/(3, 2)-->14
(13, 1)/(4, 2)-->13
(13, 1)/(7, 2)-->10
(13, 1)/(8, 2)-->9
(13, 1)/(9, 2)-->8
(13, 1)/(10, 2)-->7
(13, 1)/(13, 2)-->6
(13, 1)/(14, 2)-->7
(13, 1)/(15, 2)-->8
(13, 1)/(16, 2)-->9
(13, 1)/(1, 5)-->17
(13, 1)/(2, 5)-->16
(13, 1)/(3, 5)-->15
(13, 1)/(4, 5)-->14
(13, 1)/(7, 5)-->11
(13, 1)/(8, 5)-->10
(13, 1)/(9, 5)-->9
(13, 1)/(10, 5)-->8
(13, 1)/(13, 5)-->7
(13, 1)/(14, 5)-->8
(13, 1)/(15, 5)-->9
(13, 1)/(16, 5)-->10
(13, 1)/(1, 6)-->20
(13, 1)/(2, 6)-->19
(13, 1)/(3, 6)-->18
(13, 1)/(4, 6)-->17
(13, 1)/(7, 6)-->14
(13, 1)/(8, 6)-->13
(13, 1)/(9, 6)-->12
(13, 1)/(10, 6)-->11
(13, 1)/(13, 6)-->10
(13, 1)/(14, 6)-->11
(13, 1)/(15, 6)-->12
(13, 1)/(16, 6)-->13
(13, 1)/(1, 9)-->21
(13, 1)/(2, 9)-->20
(13, 1)/(3, 9)-->19
(13, 1)/(4, 9)-->18
(13, 1)/(7, 9)-->15
(13, 1)/(8, 9)-->14
